Timestamp (ms),Accel X,Accel Y,Accel Z
9629,-0.11,-0.18,-1.03
9650,-0.11,-0.18,-1.03
9671,-0.11,-0.18,-1.03
9692,-0.11,-0.18,-1.02
9713,-0.11,-0.18,-1.03
9734,-0.11,-0.18,-1.03
9755,-0.11,-0.18,-1.03
9776,-0.1,-0.18,-1.03
9797,-0.09,-0.18,-1.03
9818,-0.09,-0.18,-1.03
9839,-0.09,-0.18,-1.03
9860,-0.11,-0.18,-1.03
9881,-0.13,-0.18,-1.03
9902,-0.12,-0.19,-1.03
9923,-0.12,-0.18,-1.03
9944,-0.11,-0.19,-1.03
9965,-0.1,-0.19,-1.03
9986,-0.09,-0.19,-1.03
10007,-0.09,-0.18,-1.03
10028,-0.09,-0.17,-1.03
10049,-0.11,-0.18,-1.02
10070,-0.12,-0.18,-1.03
10091,-0.12,-0.18,-1.04
10112,-0.11,-0.19,-1.03
10133,-0.09,-0.18,-1.03
10154,-0.09,-0.18,-1.03
10175,-0.09,-0.18,-1.03
10196,-0.1,-0.18,-1.02
10217,-0.11,-0.17,-1.03
10238,-0.11,-0.18,-1.03
10259,-0.11,-0.18,-1.03
10280,-0.11,-0.18,-1.02
10301,-0.11,-0.18,-1.03
10322,-0.11,-0.18,-1.03
10343,-0.1,-0.18,-1.03
10364,-0.11,-0.19,-1.03
10385,-0.1,-0.19,-1.03
10406,-0.09,-0.18,-1.03
10427,-0.09,-0.18,-1.03
10448,-0.09,-0.18,-1.03
10469,-0.11,-0.18,-1.03
10490,-0.12,-0.18,-1.03
10511,-0.12,-0.19,-1.03
10532,-0.1,-0.19,-1.03
10553,-0.1,-0.19,-1.04
10574,-0.09,-0.18,-1.03
10595,-0.09,-0.18,-1.03
10616,-0.1,-0.17,-1.03
10637,-0.11,-0.18,-1.03
10658,-0.11,-0.18,-1.03
10679,-0.11,-0.18,-1.04
10700,-0.11,-0.19,-1.03
10721,-0.1,-0.18,-1.03
10742,-0.1,-0.18,-1.03
10763,-0.11,-0.18,-1.02
10784,-0.11,-0.18,-1.03
10805,-0.1,-0.18,-1.04
10826,-0.1,-0.18,-1.03
10847,-0.11,-0.19,-1.03
10868,-0.1,-0.18,-1.03
10889,-0.1,-0.18,-1.03
10910,-0.1,-0.18,-1.03
10931,-0.09,-0.18,-1.03
10952,-0.1,-0.18,-1.03
10973,-0.1,-0.18,-1.03
10994,-0.11,-0.18,-1.03
11015,-0.12,-0.19,-1.03
11036,-0.11,-0.19,-1.03
11057,-0.11,-0.18,-1.04
11078,-0.1,-0.19,-1.03
11099,-0.09,-0.19,-1.03
11120,-0.09,-0.18,-1.03
11141,-0.1,-0.18,-1.03
11162,-0.11,-0.19,-1.03
11183,-0.11,-0.19,-1.03
11204,-0.11,-0.19,-1.03
11225,-0.1,-0.19,-1.03
11246,-0.1,-0.18,-1.03
11267,-0.1,-0.18,-1.03
11288,-0.1,-0.18,-1.03
11309,-0.1,-0.19,-1.03
11330,-0.11,-0.18,-1.03
11351,-0.11,-0.18,-1.04
11372,-0.11,-0.18,-1.03
11393,-0.11,-0.18,-1.03
11414,-0.1,-0.19,-1.03
11435,-0.1,-0.18,-1.03
11456,-0.1,-0.18,-1.03
11477,-0.1,-0.18,-1.03
11498,-0.11,-0.18,-1.03
11519,-0.11,-0.19,-1.03
11540,-0.11,-0.19,-1.04
11561,-0.11,-0.18,-1.02
11582,-0.09,-0.18,-1.03
11603,-0.1,-0.18,-1.03
11624,-0.1,-0.19,-1.03
11645,-0.1,-0.18,-1.03
11666,-0.1,-0.18,-1.03
11687,-0.11,-0.18,-1.03
11708,-0.11,-0.18,-1.03
11729,-0.11,-0.19,-1.03
11750,-0.11,-0.18,-1.03
11771,-0.1,-0.19,-1.03
11792,-0.1,-0.19,-1.02
11813,-0.1,-0.18,-1.03
11834,-0.1,-0.18,-1.03
11855,-0.1,-0.17,-1.03
11876,-0.1,-0.18,-1.03
11897,-0.12,-0.17,-1.04
11918,-0.13,-0.18,-1.03
11939,-0.12,-0.18,-1.03
11960,-0.11,-0.19,-1.03
11981,-0.1,-0.19,-1.03
12002,-0.1,-0.2,-1.02
12023,-0.1,-0.21,-1.03
12044,-0.1,-0.19,-1.03
12065,-0.11,-0.19,-1.04
12086,-0.11,-0.18,-1.03
12107,-0.1,-0.18,-1.03
12128,-0.11,-0.18,-1.03
12149,-0.11,-0.17,-1.03
12170,-0.11,-0.18,-1.03
12191,-0.1,-0.18,-1.03
12212,-0.11,-0.19,-1.03
12233,-0.11,-0.19,-1.03
12254,-0.11,-0.19,-1.03
12275,-0.11,-0.19,-1.03
12296,-0.12,-0.18,-1.03
12317,-0.11,-0.18,-1.04
12338,-0.11,-0.18,-1.03
12359,-0.11,-0.18,-1.04
12380,-0.1,-0.18,-1.03
12401,-0.1,-0.18,-1.03
12422,-0.1,-0.18,-1.03
12443,-0.1,-0.19,-1.03
12464,-0.1,-0.19,-1.04
12485,-0.1,-0.19,-1.03
12506,-0.1,-0.19,-1.03
12527,-0.11,-0.18,-1.04
12548,-0.11,-0.18,-1.03
12569,-0.11,-0.18,-1.03
12590,-0.1,-0.18,-1.03
12611,-0.1,-0.18,-1.03
12632,-0.08,-0.18,-1.02
12653,-0.09,-0.17,-1.02
12674,-0.11,-0.17,-1.03
12695,-0.11,-0.17,-1.02
12716,-0.12,-0.17,-1.03
12737,-0.14,-0.18,-1.03
12758,-0.14,-0.18,-1.04
12779,-0.14,-0.18,-1.03
12800,-0.13,-0.19,-1.03
12821,-0.11,-0.19,-1.03
12842,-0.09,-0.19,-1.03
12863,-0.08,-0.18,-1.03
12884,-0.1,-0.17,-1.03
12905,-0.11,-0.18,-1.03
12926,-0.11,-0.18,-1.03
12947,-0.1,-0.17,-1.03
12968,-0.09,-0.17,-1.03
12989,-0.1,-0.18,-1.03
13010,-0.1,-0.18,-1.03
13031,-0.1,-0.18,-1.04
13052,-0.1,-0.19,-1.03
13073,-0.1,-0.19,-1.03
13094,-0.11,-0.19,-1.03
13115,-0.11,-0.19,-1.03
13136,-0.11,-0.19,-1.03
13157,-0.11,-0.19,-1.03
13178,-0.11,-0.18,-1.03
13199,-0.1,-0.18,-1.03
13220,-0.1,-0.19,-1.03
13241,-0.1,-0.18,-1.03
13262,-0.1,-0.18,-1.03
13283,-0.1,-0.18,-1.03
13304,-0.11,-0.18,-1.03
13325,-0.11,-0.18,-1.03
13346,-0.1,-0.18,-1.03
13367,-0.09,-0.18,-1.03
13388,-0.09,-0.18,-1.03
13409,-0.09,-0.18,-1.03
13430,-0.09,-0.18,-1.03
13451,-0.09,-0.18,-1.03
13472,-0.1,-0.18,-1.03
13493,-0.11,-0.18,-1.04
13514,-0.11,-0.18,-1.03
13535,-0.11,-0.18,-1.04
13556,-0.09,-0.19,-1.03
13577,-0.09,-0.18,-1.03
13598,-0.09,-0.18,-1.03
13619,-0.09,-0.18,-1.03
13640,-0.09,-0.18,-1.04
13661,-0.12,-0.18,-1.04
13682,-0.12,-0.18,-1.04
13703,-0.12,-0.18,-1.03
13724,-0.11,-0.18,-1.03
13745,-0.11,-0.19,-1.03
