Timestamp (ms),Accel X,Accel Y,Accel Z
544415,0.53,0.18,-0.86
544436,0.53,0.19,-0.86
544457,0.54,0.18,-0.86
544478,0.52,0.18,-0.87
544499,0.5,0.17,-0.88
544520,0.5,0.17,-0.87
544541,0.48,0.2,-0.85
544562,0.29,0.24,-0.85
544583,0.39,0.26,-0.83
544604,0.63,0.2,-0.81
544625,0.63,0.15,-0.8
544646,0.53,0.16,-0.86
544667,0.52,0.16,-0.88
544688,0.57,0.15,-0.89
544709,0.51,0.16,-0.89
544730,0.47,0.18,-0.88
544751,0.56,0.16,-0.88
544772,0.53,0.14,-0.9
544793,0.43,0.17,-0.89
544814,0.54,0.14,-0.88
544835,0.67,0.07,-0.9
544856,0.26,0.16,-0.9
544877,0.54,0.17,-0.91
544898,0.73,0.1,-0.94
544919,0.59,0.06,-0.92
544940,0.27,0.15,-0.84
544961,0.2,0.26,-0.8
544982,0.61,0.16,-0.72
545003,0.87,0.03,-0.73
545024,0.61,0.09,-0.88
545045,0.67,0.13,-0.89
545066,0.41,0.17,-0.85
545087,0.58,0.18,-0.83
545108,0.76,0.09,-0.83
545129,0.38,0.15,-0.9
545150,0.45,0.18,-0.89
545171,0.62,0.14,-0.84
545192,0.77,0.13,-0.84
545213,0.43,0.12,-0.86
545234,0.26,0.18,-0.84
545255,0.35,0.24,-0.82
545276,0.92,0.09,-0.78
545297,0.95,0.05,-0.86
545318,0.28,0.03,-0.91
545339,-0.06,0.29,-0.88
545360,0.87,0.24,-0.79
545381,1.34,0.03,-0.75
545402,0.54,-0.01,-0.9
545423,-0.23,0.2,-0.97
545444,0.85,0.24,-0.88
545465,1.17,-0.0,-0.79
545486,0.28,0.05,-0.9
545507,0.12,0.2,-0.95
545528,0.6,0.13,-0.86
545549,0.99,0.0,-0.83
545570,0.33,0.02,-0.86
545591,0.09,0.19,-0.87
545612,0.68,0.2,-0.83
545633,1.01,-0.01,-0.84
545654,0.42,0.01,-0.94
545675,0.34,0.14,-0.92
545696,0.48,0.19,-0.85
545717,0.81,0.12,-0.84
545738,0.74,0.0,-0.87
545759,0.36,0.08,-0.97
545780,0.17,0.17,-0.91
545801,0.58,0.18,-0.85
545822,0.93,-0.0,-0.86
545843,0.39,-0.05,-0.96
545864,0.32,0.12,-0.94
545885,0.44,0.16,-0.81
545906,0.77,0.09,-0.79
545927,0.7,0.01,-0.81
545948,0.34,0.05,-0.96
545969,0.12,0.15,-0.91
545990,0.59,0.13,-0.84
546011,0.61,0.06,-0.87
546032,0.39,0.1,-0.91
546053,0.61,0.13,-0.91
546074,0.61,0.08,-0.91
546095,0.61,0.08,-0.91
546116,0.45,0.12,-0.87
546137,0.36,0.2,-0.84
546158,0.47,0.17,-0.86
546179,0.57,0.06,-0.9
546200,0.49,0.04,-0.94
546221,0.37,0.11,-0.92
546242,0.58,0.12,-0.87
546263,0.65,0.09,-0.85
546284,0.51,0.1,-0.89
546305,0.52,0.11,-0.89
546326,0.54,0.11,-0.88
546347,0.52,0.09,-0.89
546368,0.46,0.1,-0.89
546389,0.47,0.12,-0.9
546410,0.53,0.1,-0.9
546431,0.54,0.08,-0.9
546452,0.54,0.07,-0.91
546473,0.56,0.1,-0.9
546494,0.57,0.14,-0.87
546515,0.47,0.12,-0.87
